Year,Age_Group,County,Number of Visits,Age-adjusted rate,NO2 AQI_mean,NO2 AQI_max,NO2 AQI_min,O3 AQI_mean,O3 AQI_max,O3 AQI_min,SO2 AQI_mean,SO2 AQI_max,SO2 AQI_min,CO AQI_mean,CO AQI_max,CO AQI_min
2009,0,Alameda,146.2173913043478,57.95296941152174,21.945205479452056,47.0,4.0,20.964383561643835,46.0,2.0,3.4438356164383563,23.0,0.0,5.671232876712328,23.0,1.0
2009,1,Alameda,88.34782608695652,102.25160147782611,21.945205479452056,47.0,4.0,20.964383561643835,46.0,2.0,3.4438356164383563,23.0,0.0,5.671232876712328,23.0,1.0
2009,0,Contra costa,129.27777777777777,56.07468218194444,14.679908675799087,35.0,3.5,32.24063926940639,139.5,7.5,2.8853881278538807,11.5,0.0,3.919178082191781,9.333333333333334,1.5
2009,1,Contra costa,69.19444444444444,70.746073825,14.679908675799087,35.0,3.5,32.24063926940639,139.5,7.5,2.8853881278538807,11.5,0.0,3.919178082191781,9.333333333333334,1.5
2009,0,Fresno,79.39024390243902,47.22137472658537,26.53972602739726,66.0,7.0,52.28219178082192,172.0,5.0,3.4246575342465753,19.0,0.0,6.550684931506849,24.0,1.0
2009,1,Fresno,84.46341463414635,107.62214520512197,26.53972602739726,66.0,7.0,52.28219178082192,172.0,5.0,3.4246575342465753,19.0,0.0,6.550684931506849,24.0,1.0
2009,0,Humboldt,55.44444444444444,77.70031049111111,8.10803324099723,37.0,0.0,23.941828254847646,46.0,7.0,0.6869806094182825,37.0,0.0,4.445983379501385,15.0,1.0
2009,1,Humboldt,18.77777777777778,48.70027242888889,8.10803324099723,37.0,0.0,23.941828254847646,46.0,7.0,0.6869806094182825,37.0,0.0,4.445983379501385,15.0,1.0
2009,0,Imperial,78.77777777777777,99.63858956,31.77777777777778,101.0,3.0,38.69166666666667,119.0,3.0,2.8916666666666666,19.0,0.0,15.680555555555555,81.0,5.0
2009,1,Imperial,91.22222222222223,156.88551653333332,31.77777777777778,101.0,3.0,38.69166666666667,119.0,3.0,2.8916666666666666,19.0,0.0,15.680555555555555,81.0,5.0
2009,0,Los angeles,110.70075757575758,39.232221614984844,35.31817351598174,79.42857142857143,8.5,33.104246575342465,89.0,4.75,3.376842791911287,10.0,0.0,8.541141552511418,22.25,1.75
2009,1,Los angeles,80.87121212121212,64.77814683568177,35.31817351598174,79.42857142857143,8.5,33.104246575342465,89.0,4.75,3.376842791911287,10.0,0.0,8.541141552511418,22.25,1.75
2009,0,Orange,69.67948717948718,23.75327097734615,23.68421052631579,63.0,0.0,35.229916897506925,90.0,5.0,2.772853185595568,13.0,0.0,5.2105263157894735,25.0,0.0
2009,1,Orange,53.0,46.026958690897445,23.68421052631579,63.0,0.0,35.229916897506925,90.0,5.0,2.772853185595568,13.0,0.0,5.2105263157894735,25.0,0.0
2009,0,Riverside,86.59677419354838,38.52646947096775,29.71976401179941,77.0,2.0,51.259587020648965,161.0,2.0,3.0648967551622417,16.0,1.0,6.776119402985074,22.0,0.0
2009,1,Riverside,65.41935483870968,63.2337508932258,29.71976401179941,77.0,2.0,51.259587020648965,161.0,2.0,3.0648967551622417,16.0,1.0,6.776119402985074,22.0,0.0
2009,0,Sacramento,135.79545454545453,60.35111940045454,20.174885844748857,48.0,3.0,38.61643835616438,145.5,4.5,1.2776255707762556,4.0,0.0,6.667123287671233,25.5,2.0
2009,1,Sacramento,63.5,65.10431507568182,20.174885844748857,48.0,3.0,38.61643835616438,145.5,4.5,1.2776255707762556,4.0,0.0,6.667123287671233,25.5,2.0
2009,0,San bernardino,12.0,79.58078797,34.701369863013696,70.0,10.5,51.56849315068493,145.0,11.0,2.1315068493150684,22.0,0.0,5.597260273972603,13.5,1.0
2009,1,San bernardino,0.0,0.0,34.701369863013696,70.0,10.5,51.56849315068493,145.0,11.0,2.1315068493150684,22.0,0.0,5.597260273972603,13.5,1.0
2009,0,San diego,76.825,24.814072535637496,30.46894977168949,71.33333333333333,5.666666666666667,33.693607305936055,76.0,12.666666666666666,5.804109589041101,17.0,0.3333333333333333,9.652054794520549,27.0,2.6666666666666665
2009,1,San diego,63.825,56.69444632887502,30.46894977168949,71.33333333333333,5.666666666666667,33.693607305936055,76.0,12.666666666666666,5.804109589041101,17.0,0.3333333333333333,9.652054794520549,27.0,2.6666666666666665
2009,0,Santa barbara,43.5,21.014782156874997,5.997716894977168,27.0,0.6666666666666666,33.95972602739726,84.25,18.666666666666668,1.754931506849314,5.666666666666667,0.0,2.0140182648401845,4.25,0.3333333333333333
2009,1,Santa barbara,36.8125,49.66220586812501,5.997716894977168,27.0,0.6666666666666666,33.95972602739726,84.25,18.666666666666668,1.754931506849314,5.666666666666667,0.0,2.0140182648401845,4.25,0.3333333333333333
2009,0,Santa clara,71.13461538461539,29.70135701857693,23.29206349206349,67.0,4.0,24.933333333333334,77.0,2.0,0.7746031746031746,9.0,0.0,5.888888888888889,24.0,1.0
2009,1,Santa clara,36.36538461538461,33.546001424423075,23.29206349206349,67.0,4.0,24.933333333333334,77.0,2.0,0.7746031746031746,9.0,0.0,5.888888888888889,24.0,1.0
2009,0,Santa cruz,37.46153846153846,19.75645129076923,4.018315018315018,16.0,1.0,28.761904761904763,71.0,13.0,2.3626373626373627,7.0,0.0,4.227106227106227,58.0,1.0
2009,1,Santa cruz,24.692307692307693,23.03091257538462,4.018315018315018,16.0,1.0,28.761904761904763,71.0,13.0,2.3626373626373627,7.0,0.0,4.227106227106227,58.0,1.0
