Year,Age Group,County,Number of Visits,Age-adjusted rate,"('NO2 AQI', 'mean')","('NO2 AQI', 'max')","('NO2 AQI', 'min')","('O3 AQI', 'mean')","('O3 AQI', 'max')","('O3 AQI', 'min')","('SO2 AQI', 'mean')","('SO2 AQI', 'max')","('SO2 AQI', 'min')","('CO AQI', 'mean')","('CO AQI', 'max')","('CO AQI', 'min')"
2009,0,Alameda,146.2173913043478,57.95296941152174,21.945205479452056,47.0,4.0,20.964383561643835,46.0,2.0,3.4438356164383563,23.0,0.0,5.671232876712328,23.0,1.0
2009,1,Alameda,88.34782608695652,102.25160147782611,21.945205479452056,47.0,4.0,20.964383561643835,46.0,2.0,3.4438356164383563,23.0,0.0,5.671232876712328,23.0,1.0
2009,0,Contra costa,129.27777777777777,56.07468218194444,14.679908675799087,35.0,3.5,32.24063926940639,139.5,7.5,2.8853881278538807,11.5,0.0,3.919178082191781,9.333333333333334,1.5
2009,1,Contra costa,69.19444444444444,70.746073825,14.679908675799087,35.0,3.5,32.24063926940639,139.5,7.5,2.8853881278538807,11.5,0.0,3.919178082191781,9.333333333333334,1.5
2009,0,Fresno,79.39024390243902,47.22137472658537,26.53972602739726,66.0,7.0,52.28219178082192,172.0,5.0,3.4246575342465753,19.0,0.0,6.550684931506849,24.0,1.0
2009,1,Fresno,84.46341463414635,107.62214520512197,26.53972602739726,66.0,7.0,52.28219178082192,172.0,5.0,3.4246575342465753,19.0,0.0,6.550684931506849,24.0,1.0
2009,0,Humboldt,55.44444444444444,77.70031049111111,8.10803324099723,37.0,0.0,23.941828254847646,46.0,7.0,0.6869806094182825,37.0,0.0,4.445983379501385,15.0,1.0
2009,1,Humboldt,18.77777777777778,48.70027242888889,8.10803324099723,37.0,0.0,23.941828254847646,46.0,7.0,0.6869806094182825,37.0,0.0,4.445983379501385,15.0,1.0
2009,0,Imperial,78.77777777777777,99.63858956,31.77777777777778,101.0,3.0,38.69166666666667,119.0,3.0,2.8916666666666666,19.0,0.0,15.680555555555555,81.0,5.0
2009,1,Imperial,91.22222222222223,156.88551653333332,31.77777777777778,101.0,3.0,38.69166666666667,119.0,3.0,2.8916666666666666,19.0,0.0,15.680555555555555,81.0,5.0
