Date Local,State,County,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2012-01-08,California,Riverside,14.0,34.0,0.0,1.5
2012-01-08,California,San Bernardino,14.0,33.0,2.0,7.0
2012-01-08,California,San Diego,33.0,30.0,0.0,9.0
2012-01-08,California,Santa Barbara,9.0,36.66666666666666,2.6666666666666665,2.333333333333333
2012-01-08,California,Santa Clara,31.5,23.5,3.5,9.5
2012-01-08,California,Solano,36.0,24.0,3.0,16.0
2012-01-09,California,Alameda,44.0,6.0,3.0,19.0
2012-01-09,California,Contra Costa,33.666666666666664,23.33333333333333,4.333333333333333,8.0
2012-01-09,California,Humboldt,11.0,13.0,0.5,6.0
2012-01-09,California,Imperial,39.0,21.0,3.0,35.0
2012-01-09,California,Los Angeles,40.25,14.5,2.25,17.0
2012-01-09,California,Riverside,47.0,22.0,0.0,7.5
2012-01-09,California,San Bernardino,19.5,28.0,4.0,11.5
2012-01-09,California,San Diego,39.0,24.0,0.0,11.0
2012-01-09,California,Santa Barbara,10.666666666666666,33.666666666666664,3.0,2.333333333333333
2012-01-09,California,Santa Clara,40.0,12.0,3.5,11.5
2012-01-09,California,Solano,42.0,21.0,3.0,19.0
2012-01-10,California,Alameda,46.0,9.0,3.0,26.0
2012-01-10,California,Contra Costa,32.333333333333336,25.666666666666668,3.6666666666666665,8.333333333333334
2012-01-10,California,Humboldt,2.0,17.0,0.0,5.0
2012-01-10,California,Imperial,37.0,16.0,3.0,51.0
2012-01-10,California,Los Angeles,41.75,11.75,3.75,18.25
2012-01-10,California,Riverside,43.0,20.0,1.0,10.0
2012-01-10,California,San Bernardino,33.0,19.0,5.0,11.5
2012-01-10,California,San Diego,39.0,25.0,0.0,11.0
2012-01-10,California,Santa Barbara,9.666666666666666,31.666666666666668,3.6666666666666665,2.333333333333333
2012-01-10,California,Santa Clara,41.5,11.0,1.0,12.0
2012-01-10,California,Solano,37.0,20.0,3.0,17.0
2012-01-11,California,Alameda,41.0,4.0,23.0,19.0
2012-01-11,California,Contra Costa,31.33333333333333,18.0,5.0,9.333333333333334
2012-01-11,California,Humboldt,6.666666666666667,12.666666666666666,0.3333333333333333,5.0
2012-01-11,California,Imperial,37.0,19.0,0.0,25.0
2012-01-11,California,Los Angeles,50.25,3.75,3.5,19.25
2012-01-11,California,Riverside,51.0,11.0,1.0,13.5
2012-01-11,California,San Bernardino,36.0,10.0,6.0,14.0
2012-01-11,California,San Diego,42.0,11.0,0.0,13.0
2012-01-11,California,Santa Barbara,8.666666666666666,31.0,3.333333333333333,2.333333333333333
2012-01-11,California,Santa Clara,39.5,9.5,2.0,12.0
2012-01-11,California,Solano,38.0,14.0,4.0,24.0
2012-01-12,California,Alameda,42.0,17.0,3.0,20.0
2012-01-12,California,Contra Costa,27.666666666666668,22.0,4.333333333333333,7.666666666666667
2012-01-12,California,Humboldt,11.5,12.5,1.5,5.5
2012-01-12,California,Imperial,33.0,14.0,1.0,28.0
2012-01-12,California,Los Angeles,53.0,5.0,17.0,21.5
2012-01-12,California,Riverside,30.0,29.0,0.0,7.5
2012-01-12,California,San Bernardino,37.0,29.5,4.0,13.0
2012-01-12,California,San Diego,38.0,14.0,0.0,14.0
2012-01-12,California,Santa Barbara,8.0,34.666666666666664,4.0,2.6666666666666665
2012-01-12,California,Santa Clara,40.5,14.0,3.5,13.5
2012-01-12,California,Solano,33.0,19.0,3.0,25.0
2012-01-13,California,Alameda,42.0,4.0,9.0,17.0
2012-01-13,California,Contra Costa,32.666666666666664,23.33333333333333,4.0,6.666666666666667
2012-01-13,California,Humboldt,9.0,14.5,1.5,5.5
2012-01-13,California,Imperial,41.0,22.0,1.0,28.0
2012-01-13,California,Los Angeles,59.5,10.5,4.5,19.5
2012-01-13,California,Riverside,39.0,27.0,1.0,9.0
2012-01-13,California,San Bernardino,24.0,30.5,5.5,11.5
2012-01-13,California,San Diego,36.0,31.0,0.0,13.0
2012-01-13,California,Santa Barbara,11.333333333333334,34.666666666666664,2.333333333333333,3.333333333333333
2012-01-13,California,Santa Clara,44.0,8.5,3.5,12.5
2012-01-13,California,Solano,34.0,20.0,1.0,16.0
2012-01-14,California,Alameda,42.0,9.0,4.0,27.0
2012-01-14,California,Contra Costa,32.666666666666664,20.0,5.0,8.0
2012-01-14,California,Humboldt,5.5,26.0,0.5,4.0
2012-01-14,California,Imperial,40.0,10.0,3.0,39.0
2012-01-14,California,Los Angeles,46.5,3.5,3.0,23.0
2012-01-14,California,Riverside,39.0,4.0,3.0,17.0
2012-01-14,California,San Bernardino,41.0,13.0,4.0,19.0
2012-01-14,California,San Diego,39.0,13.0,0.0,11.0
2012-01-14,California,Santa Barbara,11.333333333333334,29.666666666666668,2.333333333333333,3.0
2012-01-14,California,Santa Clara,41.0,10.0,2.0,15.0
2012-01-14,California,Solano,35.0,19.0,3.0,20.0
2012-01-15,California,Contra Costa,25.666666666666668,30.0,3.6666666666666665,8.333333333333334
2012-01-15,California,Humboldt,5.0,29.0,0.5,3.0
2012-01-15,California,Imperial,32.0,5.0,3.0,48.0
2012-01-15,California,Los Angeles,41.0,21.0,1.0,28.5
2012-01-15,California,Riverside,32.0,20.0,1.0,18.0
2012-01-15,California,San Bernardino,37.0,32.0,4.0,20.0
2012-01-15,California,San Diego,27.0,32.0,0.0,13.0
2012-01-15,California,Santa Barbara,18.0,32.0,2.333333333333333,4.0
2012-01-15,California,Santa Clara,27.0,28.5,1.0,14.5
2012-01-15,California,Solano,28.0,27.0,1.0,24.0
2012-01-16,California,Contra Costa,25.0,27.33333333333333,3.333333333333333,5.666666666666667
2012-01-16,California,Humboldt,7.0,26.0,1.5,2.5
2012-01-16,California,Imperial,29.0,23.0,3.0,16.0
2012-01-16,California,Los Angeles,36.66666666666666,29.0,1.0,7.0
2012-01-16,California,Riverside,24.0,31.0,0.0,7.0
2012-01-16,California,San Bernardino,13.0,31.0,1.0,9.0
2012-01-16,California,San Diego,18.0,30.0,0.0,5.0
2012-01-16,California,Santa Barbara,4.333333333333333,33.0,1.6666666666666667,2.6666666666666665
2012-01-16,California,Santa Clara,32.5,22.0,1.0,7.0
2012-01-16,California,Solano,38.0,24.0,1.0,14.0
2012-01-17,California,Contra Costa,27.33333333333333,24.0,3.333333333333333,6.666666666666667
2012-01-17,California,Humboldt,1.0,28.0,0.5,2.5
2012-01-17,California,Imperial,40.0,23.0,1.0,20.0
2012-01-17,California,Los Angeles,42.0,23.666666666666668,1.3333333333333333,10.666666666666666
2012-01-17,California,Orange,35.0,28.0,1.0,7.0
2012-01-17,California,Riverside,35.0,23.0,1.0,8.0
2012-01-17,California,San Bernardino,41.0,31.0,4.0,14.0
2012-01-17,California,San Diego,29.0,31.0,0.0,6.0
2012-01-17,California,Santa Barbara,8.333333333333334,33.333333333333336,1.6666666666666667,2.333333333333333
2012-01-17,California,Santa Clara,31.0,21.0,0.5,8.5
2012-01-17,California,Solano,42.0,21.0,3.0,19.0
2012-01-18,California,Contra Costa,31.33333333333333,20.666666666666668,4.0,7.0
2012-01-18,California,Humboldt,0.0,28.0,0.5,2.5
2012-01-18,California,Imperial,42.0,22.0,1.0,23.0
2012-01-18,California,Los Angeles,43.0,23.666666666666668,2.333333333333333,15.666666666666666
2012-01-18,California,Orange,39.0,21.0,1.0,11.0
2012-01-18,California,Riverside,45.0,21.0,1.0,13.0
2012-01-18,California,San Bernardino,42.0,36.0,3.0,14.0
2012-01-18,California,San Diego,38.0,22.0,0.0,10.0
2012-01-18,California,Santa Barbara,8.666666666666666,34.0,1.6666666666666667,2.6666666666666665
2012-01-18,California,Santa Clara,32.0,22.0,1.0,10.0
2012-01-18,California,Solano,38.0,13.0,6.0,13.0
2012-01-19,California,Contra Costa,27.0,18.0,3.333333333333333,7.0
2012-01-19,California,Humboldt,0.5,27.0,0.5,2.5
2012-01-19,California,Imperial,44.0,23.0,3.0,32.0
2012-01-19,California,Los Angeles,48.0,18.0,3.333333333333333,19.33333333333333
2012-01-19,California,Orange,39.0,22.0,3.0,13.0
2012-01-19,California,Riverside,41.0,16.0,3.0,15.0
2012-01-19,California,San Bernardino,51.0,18.5,5.0,12.5
2012-01-19,California,Santa Barbara,9.0,33.666666666666664,2.0,3.333333333333333
2012-01-19,California,Santa Clara,27.0,22.5,0.5,10.5
2012-01-19,California,Solano,33.0,11.0,4.0,20.0
2012-01-20,California,Contra Costa,19.666666666666668,22.666666666666668,2.333333333333333,6.333333333333333
2012-01-20,California,Humboldt,1.0,29.0,0.0,2.5
2012-01-20,California,Imperial,43.0,19.0,9.0,42.0
2012-01-20,California,Los Angeles,40.66666666666666,25.666666666666668,1.0,14.0
2012-01-20,California,Orange,26.0,31.0,0.0,7.0
2012-01-20,California,Riverside,38.0,23.0,1.0,11.0
2012-01-20,California,San Bernardino,49.0,21.0,3.5,11.0
2012-01-20,California,Santa Barbara,8.0,30.33333333333333,3.0,2.6666666666666665
2012-01-20,California,Santa Clara,12.5,24.0,0.5,3.0
2012-01-20,California,Solano,22.0,25.0,3.0,7.0
2012-01-21,California,Contra Costa,16.333333333333332,31.33333333333333,2.333333333333333,4.333333333333333
2012-01-21,California,Humboldt,3.5,29.5,0.5,2.5
2012-01-21,California,Los Angeles,31.33333333333333,27.33333333333333,0.3333333333333333,6.0
2012-01-21,California,Orange,25.0,25.0,0.0,3.0
2012-01-21,California,Riverside,23.0,25.0,0.0,6.0
2012-01-21,California,San Bernardino,28.0,29.0,2.5,8.0
2012-01-21,California,Santa Barbara,3.333333333333333,32.333333333333336,2.6666666666666665,2.6666666666666665
2012-01-21,California,Santa Clara,18.0,28.0,0.5,5.0
2012-01-21,California,Solano,26.0,30.0,0.0,7.0
2012-01-22,California,Contra Costa,15.0,24.666666666666668,2.333333333333333,4.333333333333333
2012-01-22,California,Humboldt,1.0,27.5,0.5,2.5
2012-01-22,California,Los Angeles,30.666666666666668,25.0,0.3333333333333333,8.666666666666666
2012-01-22,California,Orange,25.0,25.0,0.0,5.0
2012-01-22,California,Riverside,27.0,25.0,0.0,7.5
2012-01-22,California,San Bernardino,27.5,29.0,2.5,8.5
2012-01-22,California,Santa Barbara,5.0,29.33333333333333,2.0,2.333333333333333
2012-01-22,California,Santa Clara,13.5,25.0,0.5,5.5
2012-01-22,California,Solano,24.0,23.0,3.0,11.0
2012-01-23,California,Contra Costa,19.0,24.666666666666668,2.333333333333333,6.0
2012-01-23,California,Humboldt,5.5,21.0,0.5,3.0
2012-01-23,California,Los Angeles,32.0,15.0,0.3333333333333333,10.333333333333334
2012-01-23,California,Orange,25.0,19.0,0.0,7.0
2012-01-23,California,Riverside,25.0,13.0,0.0,9.0
2012-01-23,California,San Bernardino,29.5,24.5,3.5,8.5
2012-01-23,California,Santa Barbara,3.0,32.0,1.6666666666666667,2.0
2012-01-23,California,Santa Clara,17.0,27.5,0.5,3.5
2012-01-23,California,Solano,24.0,23.0,1.0,6.0
2012-01-24,California,Contra Costa,21.0,14.333333333333334,3.6666666666666665,6.333333333333333
2012-01-24,California,Humboldt,3.5,22.5,0.5,2.5
2012-01-24,California,Los Angeles,41.66666666666666,14.0,1.6666666666666667,14.0
2012-01-24,California,Orange,29.0,14.0,0.0,13.0
2012-01-24,California,Riverside,19.0,30.0,0.0,7.0
2012-01-24,California,San Bernardino,26.5,31.5,2.5,7.0
2012-01-24,California,San Diego,24.0,22.0,0.0,7.0
2012-01-24,California,Santa Barbara,6.666666666666667,28.666666666666668,1.6666666666666667,2.333333333333333
2012-01-24,California,Santa Clara,21.0,17.5,0.5,6.0
2012-01-24,California,Solano,27.0,11.0,4.0,7.0
2012-01-25,California,Alameda,32.0,7.0,16.0,14.0
2012-01-25,California,Contra Costa,24.0,16.0,2.6666666666666665,6.0
2012-01-25,California,Humboldt,7.5,18.5,0.0,3.0
2012-01-25,California,Los Angeles,46.5,13.0,5.5,17.5
2012-01-25,California,Orange,41.0,14.0,1.0,10.0
2012-01-25,California,Riverside,25.0,26.0,0.0,2.5
2012-01-25,California,San Bernardino,38.0,27.0,4.0,8.0
2012-01-25,California,San Diego,36.0,15.0,0.0,10.0
2012-01-25,California,Santa Barbara,5.0,28.0,3.6666666666666665,2.333333333333333
2012-01-25,California,Santa Clara,25.0,12.0,1.0,10.0
2012-01-25,California,Solano,25.0,15.0,1.0,8.0
2012-01-26,California,Alameda,25.0,5.0,6.0,7.0
2012-01-26,California,Contra Costa,17.0,13.333333333333334,3.333333333333333,6.0
2012-01-26,California,Humboldt,5.0,25.0,0.0,3.0
2012-01-26,California,Los Angeles,42.8,12.0,3.8,18.8
2012-01-26,California,Orange,38.0,12.0,3.0,14.0
2012-01-26,California,Riverside,54.0,18.0,1.0,9.0
2012-01-26,California,San Bernardino,45.0,20.0,4.0,10.0
2012-01-26,California,San Diego,33.0,24.0,0.0,13.0
2012-01-26,California,Santa Barbara,3.6666666666666665,22.0,7.0,2.0
2012-01-26,California,Santa Clara,18.5,11.5,0.5,6.5
2012-01-26,California,Solano,20.0,14.0,1.0,6.0
2012-01-27,California,Alameda,31.0,7.0,13.0,13.0
2012-01-27,California,Contra Costa,24.33333333333333,27.0,3.6666666666666665,5.333333333333333
2012-01-27,California,Humboldt,7.0,18.0,0.5,3.0
2012-01-27,California,Los Angeles,46.2,17.4,2.6,13.2
2012-01-27,California,Orange,29.0,34.0,1.0,8.0
2012-01-27,California,Riverside,31.0,33.0,0.0,10.0
2012-01-27,California,San Bernardino,28.5,34.0,3.5,6.0
2012-01-27,California,San Diego,26.0,28.0,0.0,9.0
2012-01-27,California,Santa Barbara,5.666666666666667,27.33333333333333,3.0,2.0
2012-01-27,California,Santa Clara,27.5,22.0,0.5,5.0
2012-01-27,California,Solano,32.0,19.0,1.0,15.0
2012-01-28,California,Alameda,35.0,23.0,1.0,19.0
2012-01-28,California,Contra Costa,21.666666666666668,22.33333333333333,2.6666666666666665,6.333333333333333
2012-01-28,California,Humboldt,7.0,18.0,0.5,3.0
2012-01-28,California,Los Angeles,43.4,21.6,3.0,12.2
2012-01-28,California,Orange,34.0,34.0,0.0,2.0
2012-01-28,California,Riverside,6.0,34.0,0.0,1.0
2012-01-28,California,San Bernardino,16.0,36.0,2.0,4.0
2012-01-28,California,San Diego,31.0,32.0,0.0,8.0
2012-01-28,California,Santa Barbara,7.666666666666667,33.0,1.6666666666666667,2.333333333333333
2012-01-28,California,Santa Clara,27.5,20.0,1.0,7.0
2012-01-28,California,Solano,29.0,24.0,1.0,17.0
2012-01-29,California,Alameda,34.0,15.0,4.0,15.0
2012-01-29,California,Contra Costa,26.0,25.0,2.6666666666666665,7.0
2012-01-29,California,Humboldt,4.5,19.5,0.5,3.0
2012-01-29,California,Los Angeles,41.2,28.4,1.6,13.6
2012-01-29,California,Orange,38.0,25.0,1.0,9.0
2012-01-29,California,Riverside,48.0,30.0,0.0,8.0
2012-01-29,California,San Bernardino,36.5,29.5,4.0,4.0
2012-01-29,California,San Diego,31.0,32.0,0.0,9.0
2012-01-29,California,Santa Barbara,7.333333333333333,35.0,3.333333333333333,2.333333333333333
2012-01-29,California,Santa Clara,29.5,17.0,4.5,9.5
2012-01-29,California,Solano,33.0,24.0,1.0,14.0
2012-01-30,California,Alameda,33.0,22.0,4.0,14.0
2012-01-30,California,Contra Costa,25.666666666666668,23.0,7.333333333333333,7.333333333333333
2012-01-30,California,Humboldt,7.0,30.5,0.5,3.5
2012-01-30,California,Los Angeles,42.8,14.6,3.0,14.6
2012-01-30,California,Orange,34.0,19.0,1.0,13.0
2012-01-30,California,Riverside,38.0,25.0,1.0,9.5
2012-01-30,California,San Bernardino,41.5,25.5,5.5,5.0
2012-01-30,California,San Diego,36.0,32.0,0.0,10.0
2012-01-30,California,Santa Barbara,11.333333333333334,33.0,2.333333333333333,3.6666666666666665
