Year,Zip_code,County,Lat,Lng,Age_group,Number_of_visits,Age-adjusted-rate,County-fips-code
2009,93013,Santa barbara,34.39861098000006,-119.51709855899998,Child,18.0,47.37046094,6083
2009,93013,Santa barbara,34.39861098000006,-119.51709855899998,Adults,24.0,17.32125147,6083
2009,93015,Ventura,34.400131732000034,-118.91721840999998,Child,37.0,18.80385765,6111
2009,93015,Ventura,34.400131732000034,-118.91721840999998,Child,19.0,32.74988045,6111
2009,93015,Ventura,34.400131732000034,-118.91721840999998,Adults,18.0,13.96139266,6111
2009,93021,Ventura,34.281530462000035,-118.87713573399998,Child,86.0,23.86952217,6111
2009,93021,Ventura,34.281530462000035,-118.87713573399998,Child,37.0,31.73939432,6111
2009,93021,Ventura,34.281530462000035,-118.87713573399998,Adults,49.0,21.13687359,6111
2009,93022,Ventura,34.39940177100004,-119.29981786899998,Child,20.0,30.23962596,6111
2009,93022,Ventura,34.39940177100004,-119.29981786899998,Child,0.0,0.0,6111
2009,93022,Ventura,34.39940177100004,-119.29981786899998,Adults,17.0,33.63006598,6111
2009,93023,Ventura,34.44326025700008,-119.25899654299997,Child,59.0,25.59340704,6111
2009,93023,Ventura,34.44326025700008,-119.25899654299997,Child,13.0,27.45529163,6111
2009,93023,Ventura,34.44326025700008,-119.25899654299997,Adults,46.0,24.94690657,6111
2009,93030,Ventura,34.20450220500004,-119.17665868899996,Child,387.0,63.09858637,6111
2009,93030,Ventura,34.20450220500004,-119.17665868899996,Child,191.0,100.975671,6111
2009,93030,Ventura,34.20450220500004,-119.17665868899996,Adults,196.0,49.94656037,6111
2009,93033,Ventura,34.167382823000025,-119.17028890999995,Child,377.0,45.94430114,6111
2009,93033,Ventura,34.167382823000025,-119.17028890999995,Child,172.0,62.59359676,6111
2009,93033,Ventura,34.167382823000025,-119.17028890999995,Adults,205.0,40.16318117,6111
2009,93035,Ventura,34.183050913000045,-119.22118630499995,Child,118.0,43.76366862,6111
2009,93035,Ventura,34.183050913000045,-119.22118630499995,Child,47.0,69.24732585,6111
2009,93035,Ventura,34.183050913000045,-119.22118630499995,Adults,71.0,34.91500133,6111
2009,93036,Ventura,34.22962068100003,-119.17339993399997,Child,158.0,40.56079341,6111
2009,93036,Ventura,34.22962068100003,-119.17339993399997,Child,76.0,63.79084729,6111
2009,93036,Ventura,34.22962068100003,-119.17339993399997,Adults,82.0,32.49464263,6111
2009,93041,Ventura,34.157680425000024,-119.18691724699994,Child,95.0,48.73132606,6111
